Metric,,Number of visits,Number of visits,Number of visits,Number of visits,Number of visits,Number of visits,Number of visits,Number of visits,Number of visits,Number of visits,Number of visits,Number of visits,Number of visits,Number of visits,Number of visits,Number of visits
Seasonal Adjustment,,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA
Port,,All of UK,Grimsby & Immingham,London,Southampton,Liverpool,Milford Haven,Felixstowe,Tees & Hartlepool,Forth,Dover,Belfast,Holyhead,Larne,Warrenpoint,Portsmouth,Tyne
Units,,number (of visits to port),number (of visits to port),number (of visits to port),number (of visits to port),number (of visits to port),number (of visits to port),number (of visits to port),number (of visits to port),number (of visits to port),number (of visits to port),number (of visits to port),number (of visits to port),number (of visits to port),number (of visits to port),number (of visits to port),number (of visits to port)
Week ,Week commencing,,,,,,,,,,,,,,,,
14,01/04/2019,2298,365,185,248,222,74,202,71,46,173,115,16,35,14,454,78
15,08/04/2019,2427,365,196,228,227,75,264,74,46,185,130,17,47,10,506,57
16,15/04/2019,2475,393,166,235,222,73,289,81,34,198,106,20,48,10,556,44
17,22/04/2019,2487,387,199,231,200,69,277,81,46,183,107,17,48,8,549,85
18,29/04/2019,2246,371,168,151,197,65,243,95,50,153,114,18,42,11,510,58
19,06/05/2019,2596,379,205,235,247,60,270,63,43,192,118,18,48,15,663,40
20,13/05/2019,2730,449,209,236,283,69,255,80,56,198,124,x,50,x,640,55
21,20/05/2019,2787,448,195,295,279,85,283,61,58,216,119,x,49,x,629,50
22,27/05/2019,2866,418,220,301,287,64,302,59,48,196,126,x,50,x,716,55
23,03/06/2019,2632,452,212,244,245,66,279,65,54,193,124,x,47,x,578,50
24,10/06/2019,2660,432,210,236,259,82,260,52,71,208,133,17,49,9,586,56
25,17/06/2019,2827,465,238,226,295,81,297,86,43,233,130,21,49,12,596,55
26,24/06/2019,2720,436,203,246,273,73,258,59,59,222,126,x,50,x,640,55
27,01/07/2019,2737,434,201,230,277,82,276,66,44,232,127,15,47,10,649,47
28,08/07/2019,2987,458,207,274,306,76,285,74,68,276,114,x,53,x,713,60
29,15/07/2019,2958,490,194,270,310,68,302,63,49,277,118,x,49,x,696,51
30,22/07/2019,3024,421,199,274,285,80,320,68,46,319,125,x,48,x,725,97
31,29/07/2019,3021,487,224,303,293,71,296,60,49,301,125,x,48,x,707,37
32,05/08/2019,2553,409,183,288,319,65,204,64,58,238,109,x,47,x,483,68
33,12/08/2019,2752,470,209,275,304,79,253,76,64,231,123,x,50,x,529,70
34,19/08/2019,2987,474,213,313,289,82,301,68,47,289,123,17,50,6,644,71
35,26/08/2019,2953,434,217,275,296,73,308,57,45,242,130,x,47,x,752,54
36,02/09/2019,2752,409,220,241,311,67,287,61,45,235,122,x,32,x,660,43
37,09/09/2019,2969,501,232,322,320,67,307,64,45,268,128,x,28,x,601,62
38,16/09/2019,2719,411,221,302,298,58,256,78,47,249,121,x,27,x,559,62
39,23/09/2019,2295,400,207,188,276,46,195,81,59,200,115,x,28,x,409,75
40,30/09/2019,2494,394,204,229,322,63,224,58,28,234,114,x,48,x,510,50
41,07/10/2019,2429,425,208,208,280,47,208,71,45,210,111,x,46,x,432,119
42,14/10/2019,2356,415,207,159,294,58,219,49,49,177,142,x,46,x,371,152
43,21/10/2019,2321,426,220,177,238,64,192,74,33,181,160,x,40,x,373,127
44,28/10/2019,2292,384,191,186,292,44,201,61,61,160,165,x,50,x,380,99
45,04/11/2019,2144,329,182,198,211,62,189,50,51,176,158,x,47,x,351,119
46,11/11/2019,2120,361,202,195,206,63,198,70,45,161,146,x,49,x,293,118
47,18/11/2019,2062,361,210,164,226,66,199,63,52,149,124,x,49,x,248,135
48,25/11/2019,2073,371,187,158,273,63,177,66,52,150,128,x,48,x,277,110
49,02/12/2019,2684,452,250,254,221,108,175,62,41,235,143,x,53,x,387,288
50,09/12/2019,2288,403,262,208,182,61,153,42,51,227,147,14,47,11,326,154
51,16/12/2019,2429,426,241,218,231,115,181,63,69,241,151,x,48,x,294,130
52,23/12/2019,1606,345,168,148,137,85,117,33,33,171,86,x,30,x,196,39
1,30/12/2019,1961,373,211,179,159,97,136,40,45,213,107,x,42,x,259,80
2,06/01/2020,2518,395,281,251,215,110,178,55,46,262,157,x,49,x,356,144
3,13/01/2020,2536,393,267,255,215,129,210,65,46,235,143,x,45,x,375,139
4,20/01/2020,2714,442,282,242,228,148,202,61,58,274,164,x,47,x,351,192
5,27/01/2020,2627,430,306,265,210,124,177,68,50,266,162,x,56,x,334,162
6,03/02/2020,2533,463,281,234,166,80,179,84,80,277,145,x,46,x,334,134
7,10/02/2020,2117,392,230,225,164,49,145,65,51,266,124,x,48,x,300,58
8,17/02/2020,2418,446,259,273,203,55,145,84,38,253,148,x,48,x,320,146
9,24/02/2020,2597,479,285,274,218,85,150,111,59,247,162,x,48,x,320,159
10,02/03/2020,2896,539,285,315,229,154,188,109,58,267,152,x,53,x,375,172
11,09/03/2020,2583,497,298,324,204,90,166,88,42,264,144,x,45,x,373,48
12,16/03/2020,2636,467,283,291,203,113,151,108,58,264,147,22,47,9,364,109
13,23/03/2020,2308,411,203,245,210,82,148,102,57,278,170,x,41,x,292,33
14,30/03/2020,2105,377,177,237,192,75,154,94,60,261,143,x,40,x,260,16
15,06/04/2020,2098,408,154,274,217,89,184,86,48,205,103,x,26,x,246,33
16,13/04/2020,2039,389,132,261,172,93,183,88,50,202,95,33,25,8,225,83
17,20/04/2020,1997,344,152,265,196,74,154,86,47,206,104,x,28,x,234,78
18,27/04/2020,1952,389,149,259,159,83,178,61,48,193,96,x,27,x,245,35
19,04/05/2020,2063,381,148,301,182,83,160,70,68,195,96,x,26,x,284,34
20,11/05/2020,1985,362,156,236,198,70,141,62,46,204,114,17,27,14,283,55
21,18/05/2020,2201,429,188,356,173,68,180,70,58,206,134,24,27,11,255,22
22,25/05/2020,2389,426,204,454,198,69,171,95,53,205,133,x,26,x,290,28
,,,,,,,,,,,,,,,,,
"x: Data have been suppressed where the number of ships is 5 or fewer to avoid disclosure. Where necessary, additional cells have been supressed to prevent secondary disclosure.",,,,,,,,,,,,,,,,,
